Gene names;LFQ intensity BUL_103;LFQ intensity BUL_30;LFQ intensity BUL_40;LFQ intensity BUL_47;LFQ intensity BUL_48;LFQ intensity BUL_5;LFQ intensity BUL_82;LFQ intensity BUL_90;LFQ intensity BUL_91;LFQ intensity MUL_11;LFQ intensity MUL_12;LFQ intensity MUL_22;LFQ intensity MUL_33;LFQ intensity MUL_54;LFQ intensity MUL_61;LFQ intensity MUL_78;LFQ intensity UL_1;LFQ intensity UL_15;LFQ intensity UL_21;LFQ intensity UL_34;LFQ intensity UL_4;LFQ intensity UL_50;LFQ intensity UL_51;LFQ intensity UL_6;Razor + unique peptides;Unique peptides;Q-value;Score;Intensity;MS/MS count;Protein IDs;Majority protein IDs;Protein names;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
ATL3;23.03693;18.78644;21.02303;20.23736;22.5014;20.58132;22.18329;21.75858;21.67219;19.55527;19.43872;22.80863;19.55118;21.25298;20.54038;20.585;22.45964;20.49209;20.14333;21.41617;22.7644;21.84165;19.07326;21.52301;22;1;0;207.18;1065400000;100;"Q6DD88;F5GWF8";Q6DD88;Atlastin-3;;;;;;;;;;;;
ATP11A;20.88815;18.85483;24.90339;22.88692;21.77684;18.8576;23.26899;21.66214;22.14199;24.12384;18.79747;18.52959;17.59951;22.4162;18.66181;26.22786;24.33824;19.43088;20.11984;21.47981;21.57925;23.83268;17.29521;20.5243;34;33;0;157.56;3771700000;169;"P98196;E9PEJ6;H0Y547;H0Y8F0;A0A087WVE8;H0Y624;A2A3G9";"P98196;E9PEJ6;H0Y547;H0Y8F0";"Probable phospholipid-transporting ATPase IH;Phospholipid-transporting ATPase";;;;;;;;;;;;
ATP1A1;27.32963;23.9917;25.59109;25.93598;27.33236;24.96265;27.63416;27.0358;26.1335;25.38067;25.56509;27.1043;27.1211;26.79067;25.50322;26.95238;27.0872;25.13563;25.0498;26.8007;26.23345;25.61257;25.13136;26.17663;62;7;0;323.31;33141000000;967;"P05023;P05023-4;P05023-3;Q5TC01;Q5TC02;Q5TC05";"P05023;P05023-4;P05023-3";Sodium/potassium-transporting ATPase subunit alpha-1;;;;;;;;;;;;
ATP1B1;24.34861;19.22216;22.52924;22.71282;24.85081;20.86635;25.14281;24.04852;22.90097;21.41323;21.49263;23.56593;23.9486;23.58497;22.55462;24.70129;24.35542;20.73265;21.7604;24.00333;22.67038;20.62578;20.63573;23.22061;16;16;0;113.01;4713100000;166;"P05026;P05026-2;V9GYR2";"P05026;P05026-2;V9GYR2";Sodium/potassium-transporting ATPase subunit beta-1;;;;;;;;;;;;
ATP1B3;23.93157;20.29221;21.54317;22.91537;23.19585;21.77427;25.03158;24.3534;23.79313;22.09886;21.31976;24.49966;24.13884;22.95285;22.46872;22.55171;24.98412;22.61982;22.13696;23.28164;24.12321;22.68355;22.28895;23.07687;15;15;0;124.67;3696300000;143;"P54709;C9JA36;P54709-2;C9JXZ1;H7C547;F8WBY4;C9J6S2;H7C4L9";P54709;Sodium/potassium-transporting ATPase subunit beta-3;;;;;;;;;;;;
ATP2A2;26.33485;19.47641;24.13618;20.49921;25.04373;23.06459;23.66807;24.09869;23.92506;22.20994;21.58628;22.72576;20.98732;24.40126;19.36543;23.0675;23.67174;23.04807;21.71222;24.01725;25.57485;23.87418;18.97177;23.98789;48;39;0;256.23;5151300000;306;"P16615;P16615-5;P16615-2;P16615-3;P16615-4;H7C5W9;O14983;O14983-2;O14983-3;J3QSY6;H3BVB2;H3BTW4";"P16615;P16615-5;P16615-2;P16615-3;P16615-4;H7C5W9";Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;;;;;;;;;;;;
ATP2B1;24.5013;16.00677;19.34549;20.41493;22.41707;16.77424;24.54014;22.66923;21.86774;20.68192;19.93154;21.85198;19.28571;22.07588;19.73785;19.49068;24.95832;17.96764;18.72697;20.44708;21.74919;20.64474;17.89888;20.1488;28;27;0;222.47;2147700000;112;"P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2;E7ERY9;A0A0U1RQU3;H0YHH6;F8W1V5";"P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2;E7ERY9";"Plasma membrane calcium-transporting ATPase 1;Calcium-transporting ATPase";;;;;;;;;;;;
ATP2B4;26.02819;21.58642;24.64927;24.5643;26.09124;22.332;27.7375;25.84163;25.31607;24.68282;23.66145;26.62687;25.14775;25.72336;24.44171;25.05838;26.74574;22.39686;22.42029;25.15178;26.13634;25.56157;23.4946;24.45318;66;42;0;323.31;19887000000;668;"P23634;P23634-6;P23634-7;P23634-8;P23634-2;P23634-4;P23634-5;P23634-3;H7BZS8;H7BY13;H0YDG5";"P23634;P23634-6;P23634-7;P23634-8;P23634-2;P23634-4;P23634-5;P23634-3";Plasma membrane calcium-transporting ATPase 4;;;;;;;;;;;;
ATP5A1;26.64691;24.11482;25.22299;24.59332;26.44974;25.0685;25.08756;26.45209;26.12262;23.2371;23.94351;25.57063;25.17604;25.31769;27.41167;24.67562;24.55737;27.04103;25.72752;24.52199;26.61372;24.308;21.8729;25.65116;41;41;0;323.31;17050000000;630;"P25705;P25705-2;P25705-3;K7EK77;K7ERX7;K7EJP1;K7ENJ4;K7EQH4;K7ESA0";"P25705;P25705-2;P25705-3;K7EK77";ATP synthase subunit alpha, mitochondrial;;;;;;;;;;;;
ATP5B;25.98557;24.81406;23.79887;23.93867;25.48674;25.73851;25.41535;25.88886;25.74443;22.61378;24.24249;24.30591;24.48898;24.48499;27.04926;24.66693;23.92425;26.07551;25.14036;24.52832;25.66503;24.14157;22.30299;25.29796;26;26;0;323.31;12321000000;498;"P06576;H0YH81;F8W079;F8W0P7;H0YI37";"P06576;H0YH81;F8W079";"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta";;;;;;;;;;;;
ATP5C1;23.23007;19.38174;20.43329;19.60029;23.2953;22.11927;21.86989;22.33385;22.51359;18.38;19.92843;23.64174;22.47018;21.10981;25.09559;20.2055;21.38422;22.24153;22.34789;22.22556;23.44101;20.62979;17.86942;22.34337;13;13;0;93.457;1958600000;126;"P36542;P36542-2";"P36542;P36542-2";ATP synthase subunit gamma, mitochondrial;;;;;;;;;;;;
ATP5F1;24.3978;21.42064;22.27045;19.51461;23.23355;19.06041;21.25067;22.82771;23.20189;18.37193;17.26495;21.63502;21.70881;21.56165;22.39579;19.94392;22.13562;22.69113;21.5696;21.10111;23.12836;20.71749;20.61099;21.85102;14;14;0;54.629;1473200000;74;"P24539;Q5QNZ2";"P24539;Q5QNZ2";ATP synthase F(0) complex subunit B1, mitochondrial;;;;;;;;;;;;
ATP5H;23.42496;19.64723;22.22099;19.286;23.29053;20.68183;21.14594;23.1604;23.29278;20.12502;20.69642;22.16598;22.24048;21.85095;21.7708;20.04767;21.90375;23.19274;21.90819;22.4802;23.56709;21.3889;16.70287;22.60046;11;11;0;44.478;1448200000;103;"O75947;O75947-2;F5H608";"O75947;O75947-2";ATP synthase subunit d, mitochondrial;;;;;;;;;;;;
ATP5L;22.73258;19.44065;21.20729;16.77137;21.83364;18.56299;20.31318;20.93575;21.49419;18.71582;20.093;21.56011;20.6398;20.99466;20.27401;19.48146;21.44874;21.43954;21.77616;21.41266;23.10401;20.53811;16.02405;21.11813;6;6;0;18.518;711260000;52;"O75964;E9PN17";"O75964;E9PN17";ATP synthase subunit g, mitochondrial;;;;;;;;;;;;
ATP5O;24.91105;21.02086;22.54743;19.95795;24.83846;20.09313;21.65618;24.38462;24.82065;20.0438;20.82803;22.68575;22.56532;22.90137;23.56186;21.8014;22.83917;24.03699;22.75234;20.43593;25.00689;22.33402;17.55787;22.63274;15;15;0;70.595;2465400000;155;"P48047;H7C0C1;H7C086;H7C068";"P48047;H7C0C1";ATP synthase subunit O, mitochondrial;;;;;;;;;;;;
ATP6AP2;20.38058;15.93182;20.57681;20.8108;20.70151;17.93096;21.13659;18.75362;20.71112;17.82319;22.11861;20.55422;18.92369;18.7818;18.6339;20.16533;20.17207;19.64785;23.31921;21.08932;20.90624;20.87057;23.01591;21.93708;12;12;0;86.126;595260000;60;"O75787;O75787-2;H0Y750;H7C3E1;H7C240";"O75787;O75787-2;H0Y750;H7C3E1;H7C240";Renin receptor;;;;;;;;;;;;
ATP6V0A1;22.24034;20.52267;20.99749;20.61378;22.18556;18.25658;22.89388;21.83187;21.70468;19.47491;19.25437;20.99459;19.96042;20.60458;18.51749;21.62284;20.51094;18.27304;20.29569;21.91896;22.06197;20.9768;18.05847;19.76657;17;17;0;66.573;858710000;73;"Q93050-3;Q93050;Q93050-1;B7Z641;B7Z2A9;K7EM24;K7EN36;K7EPG4;K7ELZ6;F5H1T6;K7EQW2;K7ERA0;K7ERA6";"Q93050-3;Q93050;Q93050-1;B7Z641;B7Z2A9";"V-type proton ATPase 116 kDa subunit a isoform 1;V-type proton ATPase subunit a";;;;;;;;;;;;
ATP6V0D1;21.84621;20.8795;20.95816;19.81131;22.26568;20.85946;22.82922;20.86974;21.08037;19.89871;21.38601;20.62827;20.73537;21.52124;19.56048;20.96289;21.30408;20.08161;20.55169;22.32844;22.15638;17.88988;21.02864;20.74731;12;12;0;56.063;869280000;59;"P61421;F5GYQ1;J3QL14;R4GN72;H3BQB4;H3BSG7;H3BQJ1;H3BUQ0;H3BTB5";"P61421;F5GYQ1;J3QL14;R4GN72";V-type proton ATPase subunit d 1;;;;;;;;;;;;
ATP6V1A;24.6345;23.8893;24.55086;23.28644;24.79996;22.86467;24.40256;24.31465;24.48253;24.01979;23.65196;24.33402;24.87192;23.94458;26.54357;23.66871;22.95702;25.23615;24.03582;24.4224;23.29824;22.66379;19.30786;23.79352;36;36;0;323.31;7347500000;362;"P38606;P38606-2;C9JVW8;C9JA17;F8WDJ3";"P38606;P38606-2";V-type proton ATPase catalytic subunit A;;;;;;;;;;;;
ATP6V1B2;23.56372;23.23795;23.97079;22.93815;23.80075;23.44632;23.40015;23.40106;23.17191;23.57923;22.76963;23.94011;24.60947;23.46762;24.11259;22.71121;23.21539;24.94704;23.31299;23.61065;23.34327;22.15768;21.16079;23.68913;26;16;0;171.64;3900100000;279;"P21281;H0YC04;E5RGH6;H0YAT8";"P21281;H0YC04";V-type proton ATPase subunit B, brain isoform;;;;;;;;;;;;
ATP6V1E1;22.8196;21.50978;23.17416;21.77776;23.41054;17.57054;23.17519;23.49436;23.92053;21.90474;22.51036;22.58928;22.95831;22.43237;23.83942;23.17982;21.80136;23.14423;22.55086;20.85293;20.82881;20.41245;19.62662;21.56816;14;14;0;122.52;2315500000;106;"P36543;P36543-3;P36543-2;C9J8H1;Q96A05";"P36543;P36543-3;P36543-2;C9J8H1";V-type proton ATPase subunit E 1;;;;;;;;;;;;
ATP6V1G1;20.54877;22.00594;21.49302;17.30305;21.85262;21.02086;21.46633;22.86431;22.37669;21.10534;21.7409;20.50028;21.20628;20.75556;20.29098;20.3144;19.76108;22.44256;21.5515;20.49999;21.27634;20.52497;19.84266;21.66232;7;5;0;82.175;657600000;81;"O75348;F2Z307";O75348;V-type proton ATPase subunit G 1;;;;;;;;;;;;
ATP6V1H;21.86015;20.76668;22.36421;20.36528;22.42098;21.15289;21.31722;21.73595;21.32097;22.06032;21.53867;22.7647;22.14554;21.28675;23.42534;19.69185;20.54123;21.84698;20.25234;21.89512;21.6796;20.2321;16.03076;21.65862;17;17;0;171.75;1141800000;77;"Q9UI12;Q9UI12-2;G3V126;E5RG49;E5RHH0;E5RK31;E5RJG1;A0A0D9SG68";"Q9UI12;Q9UI12-2;G3V126";V-type proton ATPase subunit H;;;;;;;;;;;;
ATP8B1;21.13345;16.74308;22.63881;20.60087;22.60365;20.60007;22.29726;20.95539;20.46553;22.44137;18.73954;21.24795;20.86544;21.95706;20.17035;22.413;21.95872;18.31866;20.96254;19.97379;19.33132;19.64732;17.84702;20.9346;26;25;0;58.255;968960000;73;"O43520;K7EQC4;K7ERI0";O43520;Phospholipid-transporting ATPase IC;;;;;;;;;;;;
ATRN;19.33226;20.66952;22.00532;21.36965;20.83769;21.28074;21.34819;19.18442;19.3045;21.52406;19.45354;19.47951;20.84957;21.82718;17.59798;23.4353;21.95784;19.15919;20.63635;20.39843;18.46184;21.77973;22.65561;19.45654;19;19;0;68.168;805060000;72;"O75882;O75882-3;O75882-2";"O75882;O75882-3;O75882-2";Attractin;;;;;;;;;;;;
AZGP1;22.4441;24.99585;21.05039;22.90404;23.20252;17.42345;21.65674;22.67859;22.52738;22.65211;23.60546;22.7408;22.94052;24.6473;21.41715;22.90228;22.58555;23.08884;21.22364;21.70244;21.01584;24.81709;26.43749;21.93841;18;18;0;128.67;1916300000;155;"P25311;C9JEV0;H7BZJ8";"P25311;C9JEV0";Zinc-alpha-2-glycoprotein;;;;;;;;;;;;
AZU1;22.37658;19.15768;24.31831;29.48132;21.68637;30.44006;22.97013;22.03621;18.5056;23.13743;24.11934;22.07601;23.11289;23.14351;23.84038;25.41654;25.51533;24.70951;26.41751;25.735;22.91889;18.03725;26.1267;23.93939;8;6;0;323.31;12861000000;228;P20160;P20160;Azurocidin;;;;;;;;;;;;
B2M;25.06163;24.80922;23.62478;26.16392;24.90711;24.52067;23.84086;24.74304;24.13548;25.96104;26.9061;26.38852;26.90782;24.45876;23.00369;22.78391;27.60647;26.98414;26.07396;26.89597;24.06997;27.70761;25.68199;25.43122;7;7;0;323.31;15150000000;127;"P61769;H0YLF3;F5H6I0";"P61769;H0YLF3;F5H6I0";"Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3";;;;;;;;;;;;
B4GALT1;22.80878;21.94195;24.84235;19.1321;24.13132;17.1662;22.61025;22.33868;25.0138;23.53267;24.20881;21.70388;22.04587;22.57008;19.17074;25.59232;20.36517;22.17283;25.26524;21.88859;21.90998;21.3889;20.67461;22.72544;10;10;0;230.29;3490200000;101;"P15291;P15291-2;Q86XA6";"P15291;P15291-2";"Beta-1,4-galactosyltransferase 1;Lactose synthase A protein;N-acetyllactosamine synthase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Processed beta-1,4-galactosyltransferase 1";;;;;;;;;;;;
BAIAP2;24.72239;20.59569;27.16154;25.83947;25.99794;22.72107;25.57378;23.732;25.27327;27.69505;25.54701;23.60546;25.35306;25.74863;22.7054;27.93618;26.1107;21.4444;24.48971;25.67939;23.12509;25.81753;19.93905;25.22133;47;1;0;323.31;21149000000;621;"Q9UQB8-5;Q9UQB8;Q9UQB8-4;Q9UQB8-3;Q9UQB8-6;Q9UQB8-2;I3L3C5";"Q9UQB8-5;Q9UQB8;Q9UQB8-4;Q9UQB8-3;Q9UQB8-6;Q9UQB8-2";Brain-specific angiogenesis inhibitor 1-associated protein 2;;;;;;;;;;;;
BAIAP2L1;20.94564;18.54247;22.75935;20.96916;21.91189;20.75377;20.74329;19.1029;20.21419;22.76419;21.84311;20.89453;21.7643;22.68774;21.24389;24.31084;21.3412;21.34565;21.56626;22.47973;20.77555;22.11924;16.94447;21.87275;24;24;0;75.791;1541600000;79;Q9UHR4;Q9UHR4;Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1;;;;;;;;;;;;
BANF1;28.38911;24.92533;25.72614;24.81622;26.90896;25.58469;25.6584;28.07311;28.12529;24.01725;23.09342;26.24293;25.22997;26.74983;26.90449;27.02464;25.68686;23.39702;24.39355;26.86195;24.60642;25.1386;25.07329;24.90228;13;13;0;175.64;22024000000;290;O75531;O75531;"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed";;;;;;;;;;;;
BASP1;26.8992;26.03712;27.43285;27.79996;25.7518;25.44821;26.58878;25.93537;26.12353;27.85952;25.81614;22.57455;25.67134;26.99216;21.38638;23.82124;27.47584;24.3345;25.46731;27.50226;27.35178;27.03255;24.63395;25.65286;27;27;0;323.31;26024000000;467;"P80723;P80723-2;U3KQP0";"P80723;P80723-2";Brain acid soluble protein 1;;;;;;;;;;;;
BAX;21.95624;20.72184;21.36105;21.25569;21.14146;20.02488;21.37087;20.65264;22.11098;21.83132;20.26888;21.54745;21.43395;20.53383;20.84253;20.13031;19.75116;21.68885;20.15348;21.40203;19.85002;19.59636;21.29316;20.46732;7;7;0;28.686;722450000;63;"Q07812;Q07812-2;Q07812-5;Q07812-8;Q07812-7;K4JQN1;Q07812-4;I6LPK7;Q07812-3;Q07812-6";"Q07812;Q07812-2;Q07812-5;Q07812-8;Q07812-7";Apoptosis regulator BAX;;;;;;;;;;;;
BCAM;21.08777;20.64095;19.35264;17.88939;22.56158;21.07228;21.74993;20.85156;19.91944;20.25257;20.70193;24.81103;22.80288;20.30062;21.32531;22.901;23.23223;21.7099;19.69205;21.01257;20.57348;19.20755;22.83969;21.49346;24;24;0;323.31;1521900000;126;"P50895;A0A087WXM8;K7ENU8;K7ERB7";"P50895;A0A087WXM8;K7ENU8";Basal cell adhesion molecule;;;;;;;;;;;;
BCAP31;26.06874;22.03177;23.53101;21.79935;25.35636;22.01441;23.53184;24.86528;24.20411;22.77207;21.80286;22.96798;21.5787;23.9943;21.18095;22.60729;24.0436;23.87277;22.72513;24.2527;26.03536;23.42675;19.7046;24.54928;21;21;0;319.32;6266700000;199;"P51572-2;P51572;C9JSP1;C9JQ75;C9J0M4;C9JMD7;C9JM14";"P51572-2;P51572;C9JSP1;C9JQ75;C9J0M4";B-cell receptor-associated protein 31;;;;;;;;;;;;
BCR;21.73016;17.21293;22.66962;20.80176;20.5792;19.63657;21.76519;20.4864;21.80337;22.81439;19.87019;21.67392;19.69717;20.62328;20.02648;22.73072;21.65923;20.35257;20.55908;20.56867;20.05272;20.35982;17.05919;20.47041;25;23;0;41.087;838930000;54;"P11274;P11274-2;H0Y554;A9UF01;I3L2C0";"P11274;P11274-2";Breakpoint cluster region protein;;;;;;;;;;;;
BDH2;22.82747;22.39349;22.84238;21.24104;21.32158;19.12073;22.28345;21.95131;22.29025;23.71219;23.75144;21.41998;23.9812;22.88891;22.95893;23.11894;23.96279;20.46603;20.91335;20.64112;22.40989;22.19021;17.76719;20.67176;11;11;0;164.52;1890100000;108;"Q9BUT1;Q9BUT1-2;D6R9U8;D6RIR6;D6RFG2;Q9BUT1-3;D6R9P2;D6RBF6";"Q9BUT1;Q9BUT1-2;D6R9U8;D6RIR6;D6RFG2";3-hydroxybutyrate dehydrogenase type 2;;;;;;;;;;;;
BGN;22.72976;18.02428;21.23046;18.58681;23.1496;20.16546;21.61338;22.30977;19.44962;18.46595;18.55416;24.80592;20.94256;20.03376;22.97783;19.71321;18.70263;19.19061;22.44309;23.54804;20.80845;18.35471;17.11604;22.49162;17;17;0;213.9;1688600000;98;"P21810;C9JKG1";P21810;Biglycan;;;;;;;;;;;;
BID;20.12843;19.64866;20.27219;17.66236;20.14656;18.39012;20.11426;18.87583;18.48389;20.73066;19.14816;22.11455;22.41088;19.45589;21.40343;18.62424;19.70971;20.95255;20.46712;19.29766;19.01373;17.56081;18.97906;20.1061;7;7;0;120;432810000;42;"P55957;P55957-2;P55957-4";"P55957;P55957-2;P55957-4";"BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11";;;;;;;;;;;;
BIN1;22.52052;22.85081;22.16877;19.22967;21.42593;19.16853;22.194;21.91965;21.59737;21.04873;21.43497;19.7644;20.28647;20.49482;19.89384;20.79217;21.36453;20.84896;20.10008;20.87538;21.61526;20.73165;17.31177;20.08226;16;14;0;73.015;770850000;62;"O00499;O00499-10;O00499-2;O00499-9;O00499-7;O00499-8;O00499-4;O00499-6;O00499-11;O00499-3;O00499-5;P49418;P49418-2";"O00499;O00499-10;O00499-2;O00499-9;O00499-7;O00499-8;O00499-4;O00499-6;O00499-11;O00499-3;O00499-5";Myc box-dependent-interacting protein 1;;;;;;;;;;;;
BLVRA;22.07398;21.85441;22.77758;21.53853;22.00003;22.48741;22.07392;21.45634;21.91689;22.80182;23.13619;24.37119;23.76203;22.31739;25.08728;22.09713;22.28974;17.55214;22.18198;21.58114;22.2214;17.78644;18.79671;20.93416;21;21;0;145.64;2328800000;119;"P53004;C9J1E1";P53004;Biliverdin reductase A;;;;;;;;;;;;
BLVRB;24.46326;25.07051;24.46681;21.93668;23.34259;27.26517;24.51069;24.32704;23.71858;26.41783;25.29334;25.79241;26.69099;25.04181;26.62979;23.06055;24.0739;25.20978;25.44998;23.82958;25.3415;23.44872;20.68979;24.12123;16;16;0;323.31;11426000000;428;"P30043;M0R192;M0QZL1";"P30043;M0R192";Flavin reductase (NADPH);;;;;;;;;;;;
BPGM;19.48894;20.14133;20.23526;24.51177;18.88521;25.76749;24.38811;18.66775;17.90519;20.089;19.56746;22.69664;21.92506;19.04652;21.79388;20.55103;19.28161;20.12338;24.79333;17.62713;21.26991;18.19258;16.47109;20.53012;15;15;0;54.93;1821400000;89;"P07738;C9JH23";P07738;Bisphosphoglycerate mutase;;;;;;;;;;;;
BPI;19.73973;20.54601;22.47593;26.27833;18.6825;25.84391;20.48129;20.95444;18.33648;21.6859;23.73076;18.76873;21.38922;21.50276;20.60964;20.49736;21.12742;22.87933;22.62903;22.26138;20.08693;19.67639;20.39414;21.66114;15;15;0;274.85;2182500000;102;"P17213;H0Y738;A0A0D9SFX6";"P17213;H0Y738";Bactericidal permeability-increasing protein;;;;;;;;;;;;
BPIFB1;26.68592;24.42169;30.023;30.19261;29.88546;25.90385;29.28749;23.94922;26.92603;32.09002;31.94984;26.98934;30.15557;30.48049;26.09692;32.08287;25.4961;27.90644;28.25836;28.09149;23.20326;24.12983;17.94559;25.62464;36;36;0;323.31;2.493E+11;964;"Q8TDL5;Q8TDL5-2;A2A2R0";Q8TDL5;BPI fold-containing family B member 1;;;;;;;;;;;;
BPNT1;21.88971;22.2319;22.32586;17.26831;21.77961;20.92405;21.55969;21.70265;21.89745;21.90991;22.0212;20.46663;21.5589;21.07581;21.03671;21.39906;21.328;18.65173;21.41746;20.89112;21.84253;20.11718;16.24026;21.03315;14;14;0;46.156;816070000;93;"O95861;O95861-4;O95861-2;A6NF51;O95861-3;F8VZG4;F8W1J0;F8VVW8;F8VRY7";"O95861;O95861-4;O95861-2;A6NF51;O95861-3";3(2),5-bisphosphate nucleotidase 1;;;;;;;;;;;;
BRK1;22.15943;20.82958;21.91046;21.87497;21.86355;21.5276;22.50363;22.12329;21.62859;22.48827;21.21851;22.03782;22.62091;21.51437;21.75095;21.99907;22.7961;22.06286;22.82328;22.59359;22.58543;20.96395;20.51547;22.21913;10;10;0;20.938;1442900000;82;"Q8WUW1;Q8WUW1-2";"Q8WUW1;Q8WUW1-2";Protein BRICK1;;;;;;;;;;;;
BROX;21.77137;23.02999;26.40844;22.79424;23.78925;22.05619;23.89032;22.11223;22.42959;26.1428;23.51424;21.23771;22.5775;22.63673;22.26954;24.83745;22.996;21.44167;23.05833;23.14355;22.77239;20.69956;20.65211;20.58408;19;19;0;323.31;3932200000;130;"Q5VW32;F5GXQ0;Q5VW32-2;Q5VW33";"Q5VW32;F5GXQ0;Q5VW32-2;Q5VW33";BRO1 domain-containing protein BROX;;;;;;;;;;;;
BSG;24.34787;21.15826;22.01035;25.30145;23.32855;22.28065;25.41979;23.48419;23.2445;22.30126;20.40093;24.86235;23.37265;24.18971;22.50227;23.15071;27.2907;20.82664;21.66687;23.16948;24.43333;24.96398;23.51364;22.55194;12;12;0;323.31;8391700000;206;"P35613;P35613-2;A0A087X2B5;P35613-4;I3L192;A0A087WUV8;P35613-3;R4GMX5;R4GN83";"P35613;P35613-2;A0A087X2B5;P35613-4;I3L192;A0A087WUV8;P35613-3";Basigin;;;;;;;;;;;;
BST1;23.08424;20.4501;22.2872;26.36247;23.65785;24.19985;23.88316;23.72598;23.58932;23.92533;21.82567;21.95397;21.61342;22.06494;21.09565;24.17097;24.74371;21.68205;21.85377;23.89078;22.48358;21.06052;21.71867;22.50572;14;14;0;323.31;4257200000;174;"Q10588;A6NC48;Q10588-2;H0Y984;H0Y8G4;H0Y9Q9";"Q10588;A6NC48;Q10588-2;H0Y984;H0Y8G4";ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2;;;;;;;;;;;;
BST2;22.31992;20.53668;21.49463;23.69317;22.96707;21.94467;23.64185;23.02734;21.54042;20.19292;22.05986;20.70354;21.32948;21.86518;18.22694;21.33243;24.31914;18.71892;22.07842;22.23567;20.73281;20.41276;22.98949;22.27034;4;4;0;27.407;1790500000;53;"Q10589;Q10589-2";"Q10589;Q10589-2";Bone marrow stromal antigen 2;;;;;;;;;;;;
BUB3;20.36975;20.26808;19.82524;17.93232;20.06789;19.90435;22.81366;20.12326;20.26304;19.29322;19.85695;21.30274;19.79375;16.40072;20.2885;17.78699;19.86412;21.03147;21.78532;20.76555;20.9289;16.83943;16.34509;18.91608;12;12;0;79.421;532620000;37;"O43684;J3QT28;O43684-2;J3QSX4";"O43684;J3QT28;O43684-2";Mitotic checkpoint protein BUB3;;;;;;;;;;;;
C14orf166;23.34719;21.0112;22.56521;17.18515;22.04936;20.46642;22.41245;22.44367;23.53528;19.37732;19.38117;20.73265;20.97449;20.89193;23.6479;20.1437;19.52942;21.53626;21.04066;22.32378;23.51617;19.63027;18.84763;19.45089;14;14;0;52.407;1205800000;71;"Q9Y224;G3V4C6;H0YJB9;G3V4E7";"Q9Y224;G3V4C6";UPF0568 protein C14orf166;;;;;;;;;;;;
C1QA;22.78439;19.83599;21.43929;21.01004;20.97554;22.92557;23.89106;21.10655;21.2953;21.88256;23.17011;26.23537;23.25753;23.76051;21.11921;23.92976;23.80656;21.86087;21.38543;23.74878;25.43011;25.29502;26.82226;22.19475;8;8;0;117.55;2105500000;57;"P02745;X6RLJ0";"P02745;X6RLJ0";Complement C1q subcomponent subunit A;;;;;;;;;;;;
C1QB;24.41989;21.3966;23.43161;22.39514;21.8648;22.43176;25.64809;22.64276;22.80534;24.86594;24.41661;26.8629;25.43581;25.39656;24.17866;25.54719;24.42297;22.19893;23.00992;24.04394;25.384;25.77407;28.67432;24.85657;11;11;0;323.31;8717400000;240;"P02746;D6R934;A0A0A0MSV6;D6RGJ1";"P02746;D6R934;A0A0A0MSV6";Complement C1q subcomponent subunit B;;;;;;;;;;;;
C1QC;23.61785;20.7514;21.98242;19.93603;21.43898;18.71202;24.56023;22.07091;22.13752;23.44771;24.08699;26.49189;24.37921;24.85277;23.18094;24.93697;24.41041;21.90349;22.02827;24.17104;25.74671;25.23414;27.77737;24.49509;9;9;0;251.24;6703500000;163;P02747;P02747;Complement C1q subcomponent subunit C;;;;;;;;;;;;
C1R;22.87014;19.07329;21.44526;20.76757;20.99113;19.99604;21.6706;22.7032;22.65543;23.05112;22.52629;24.93364;24.21586;24.06981;21.04086;25.04777;23.47035;23.20479;21.37342;18.18616;22.08758;25.01903;27.94559;24.74766;37;36;0;323.31;3818500000;253;"B4DPQ0;P00736;F5H2D0;F5H1V0;F5H6Y3;F5H3N3;F5H1N6;F5GWL0;F5H3A3";"B4DPQ0;P00736;F5H2D0";"Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain";;;;;;;;;;;;
C1RL;20.09687;22.41895;20.94878;15.91905;20.87778;16.46279;19.44186;20.82594;20.81597;21.55056;20.65334;18.38907;20.23981;22.04717;20.58224;22.4736;20.56467;21.14694;20.53146;19.01242;19.86552;21.04986;22.02229;21.07477;7;7;0;30.856;444600000;50;"Q9NZP8;H0YFL7;F5GWF3;F5H2Z5;F5H7C8;F5H6S5";Q9NZP8;Complement C1r subcomponent-like protein;;;;;;;;;;;;
